101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.197000		0.070000		-0.143575
0.198000		0.070000		-0.143576
0.199000		0.070000		-0.143583
0.200000		0.070000		-0.143597
0.100000		0.080000		-0.209147
0.101000		0.080000		-0.207768
0.102000		0.080000		-0.206386
0.103000		0.080000		-0.205002
0.104000		0.080000		-0.203617
0.105000		0.080000		-0.202233
0.106000		0.080000		-0.200852
0.107000		0.080000		-0.199475
0.108000		0.080000		-0.198103
0.109000		0.080000		-0.196737
0.110000		0.080000		-0.195380
0.111000		0.080000		-0.194032
0.112000		0.080000		-0.192694
0.113000		0.080000		-0.191368
0.114000		0.080000		-0.190054
0.115000		0.080000		-0.188754
0.116000		0.080000		-0.187468
0.117000		0.080000		-0.186197
0.118000		0.080000		-0.184943
0.119000		0.080000		-0.183705
0.120000		0.080000		-0.182485
0.121000		0.080000		-0.181282
0.122000		0.080000		-0.180099
0.123000		0.080000		-0.178934
0.124000		0.080000		-0.177789
0.125000		0.080000		-0.176664
0.126000		0.080000		-0.175560
0.127000		0.080000		-0.174476
0.128000		0.080000		-0.173414
0.129000		0.080000		-0.172373
0.130000		0.080000		-0.171353
0.131000		0.080000		-0.170355
0.132000		0.080000		-0.169378
0.133000		0.080000		-0.168423
0.134000		0.080000		-0.167491
0.135000		0.080000		-0.166580
0.136000		0.080000		-0.165691
0.137000		0.080000		-0.164823
0.138000		0.080000		-0.163978
0.139000		0.080000		-0.163154
0.140000		0.080000		-0.162352
0.141000		0.080000		-0.161571
0.142000		0.080000		-0.160812
0.143000		0.080000		-0.160073
0.144000		0.080000		-0.159355
0.145000		0.080000		-0.158658
0.146000		0.080000		-0.157982
0.147000		0.080000		-0.157326
0.148000		0.080000		-0.156689
0.149000		0.080000		-0.156073
0.150000		0.080000		-0.155475
0.151000		0.080000		-0.154897
0.152000		0.080000		-0.154338
0.153000		0.080000		-0.153797
0.154000		0.080000		-0.153275
