101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.178000		0.060000		126.018971
0.179000		0.060000		128.612723
0.180000		0.060000		131.256077
0.181000		0.060000		133.949586
0.182000		0.060000		136.693797
0.183000		0.060000		139.489254
0.184000		0.060000		142.336494
0.185000		0.060000		145.236052
0.186000		0.060000		148.188457
0.187000		0.060000		151.194230
0.188000		0.060000		154.253891
0.189000		0.060000		157.367952
0.190000		0.060000		160.536920
0.191000		0.060000		163.761296
0.192000		0.060000		167.041575
0.193000		0.060000		170.378246
0.194000		0.060000		173.771791
0.195000		0.060000		177.222687
0.196000		0.060000		180.731404
0.197000		0.060000		184.298406
0.198000		0.060000		187.924147
0.199000		0.060000		191.609079
0.200000		0.060000		195.353644
0.100000		0.070000		29.451124
0.101000		0.070000		29.905655
0.102000		0.070000		30.369122
0.103000		0.070000		30.841890
0.104000		0.070000		31.324327
0.105000		0.070000		31.816807
0.106000		0.070000		32.319709
0.107000		0.070000		32.833417
0.108000		0.070000		33.358318
0.109000		0.070000		33.894808
0.110000		0.070000		34.443284
0.111000		0.070000		35.004152
0.112000		0.070000		35.577822
0.113000		0.070000		36.164708
0.114000		0.070000		36.765231
0.115000		0.070000		37.379817
0.116000		0.070000		38.008900
0.117000		0.070000		38.652915
0.118000		0.070000		39.312306
0.119000		0.070000		39.987522
0.120000		0.070000		40.679017
0.121000		0.070000		41.387252
0.122000		0.070000		42.112691
0.123000		0.070000		42.855807
0.124000		0.070000		43.617076
0.125000		0.070000		44.396980
0.126000		0.070000		45.196008
0.127000		0.070000		46.014653
0.128000		0.070000		46.853413
0.129000		0.070000		47.712793
0.130000		0.070000		48.593301
0.131000		0.070000		49.495453
0.132000		0.070000		50.419767
0.133000		0.070000		51.366768
0.134000		0.070000		52.336985
0.135000		0.070000		53.330953
0.136000		0.070000		54.349209
0.137000		0.070000		55.392296
0.138000		0.070000		56.460763
0.139000		0.070000		57.555160
0.140000		0.070000		58.676043
0.141000		0.070000		59.823971
0.142000		0.070000		60.999508
0.143000		0.070000		62.203219
0.144000		0.070000		63.435676
0.145000		0.070000		64.697451
0.146000		0.070000		65.989121
0.147000		0.070000		67.311264
0.148000		0.070000		68.664463
0.149000		0.070000		70.049301
0.150000		0.070000		71.466364
0.151000		0.070000		72.916242
0.152000		0.070000		74.399524
0.153000		0.070000		75.916803
0.154000		0.070000		77.468672
0.155000		0.070000		79.055724
0.156000		0.070000		80.678557
0.157000		0.070000		82.337765
0.158000		0.070000		84.033947
0.159000		0.070000		85.767699
0.160000		0.070000		87.539619
0.161000		0.070000		89.350304
0.162000		0.070000		91.200350
0.163000		0.070000		93.090356
0.164000		0.070000		95.020916
0.165000		0.070000		96.992625
0.166000		0.070000		99.006076
0.167000		0.070000		101.061863
0.168000		0.070000		103.160576
0.169000		0.070000		105.302803
0.170000		0.070000		107.489132
0.171000		0.070000		109.720147
0.172000		0.070000		111.996430
0.173000		0.070000		114.318561
0.174000		0.070000		116.687116
0.175000		0.070000		119.102669
0.176000		0.070000		121.565790
0.177000		0.070000		124.077046
0.178000		0.070000		126.637000
0.179000		0.070000		129.246212
0.180000		0.070000		131.905236
0.181000		0.070000		134.614625
0.182000		0.070000		137.374924
0.183000		0.070000		140.186676
0.184000		0.070000		143.050418
0.185000		0.070000		145.966682
0.186000		0.070000		148.935996
0.187000		0.070000		151.958883
0.188000		0.070000		155.035857
0.189000		0.070000		158.167432
0.190000		0.070000		161.354111
0.191000		0.070000		164.596395
0.192000		0.070000		167.894778
0.193000		0.070000		171.249745
0.194000		0.070000		174.661779
0.195000		0.070000		178.131354
0.196000		0.070000		181.658938
0.197000		0.070000		185.244992
0.198000		0.070000		188.889972
0.199000		0.070000		192.594324
0.200000		0.070000		196.358489
0.100000		0.080000		29.477479
0.101000		0.080000		29.933980
0.102000		0.080000		30.399523
0.103000		0.080000		30.874476
0.104000		0.080000		31.359212
0.105000		0.080000		31.854107
0.106000		0.080000		32.359543
0.107000		0.080000		32.875908
0.108000		0.080000		33.403593
0.109000		0.080000		33.942995
0.110000		0.080000		34.494518
0.111000		0.080000		35.058568
0.112000		0.080000		35.635559
0.113000		0.080000		36.225909
0.114000		0.080000		36.830043
0.115000		0.080000		37.448389
0.116000		0.080000		38.081384
0.117000		0.080000		38.729468
0.118000		0.080000		39.393086
0.119000		0.080000		40.072692
0.120000		0.080000		40.768742
0.121000		0.080000		41.481700
0.122000		0.080000		42.212034
0.123000		0.080000		42.960220
0.124000		0.080000		43.726736
0.125000		0.080000		44.512068
0.126000		0.080000		45.316707
0.127000		0.080000		46.141150
0.128000		0.080000		46.985897
0.129000		0.080000		47.851456
0.130000		0.080000		48.738338
0.131000		0.080000		49.647062
0.132000		0.080000		50.578148
0.133000		0.080000		51.532124
0.134000		0.080000		52.509521
0.135000		0.080000		53.510877
0.136000		0.080000		54.536731
0.137000		0.080000		55.587630
0.138000		0.080000		56.664123
0.139000		0.080000		57.766763
0.140000		0.080000		58.896109
0.141000		0.080000		60.052721
0.142000		0.080000		61.237166
0.143000		0.080000		62.450011
0.144000		0.080000		63.691828
0.145000		0.080000		64.963193
0.146000		0.080000		66.264684
0.147000		0.080000		67.596881
0.148000		0.080000		68.960367
0.149000		0.080000		70.355729
0.150000		0.080000		71.783553
0.151000		0.080000		73.244431
0.152000		0.080000		74.738952
0.153000		0.080000		76.267712
0.154000		0.080000		77.831303
0.155000		0.080000		79.430321
0.156000		0.080000		81.065364
