101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.180000		0.070000		55.612624
0.181000		0.070000		56.621546
0.182000		0.070000		57.644544
0.183000		0.070000		58.681712
0.184000		0.070000		59.733140
0.185000		0.070000		60.798915
0.186000		0.070000		61.879122
0.187000		0.070000		62.973841
0.188000		0.070000		64.083149
0.189000		0.070000		65.207119
0.190000		0.070000		66.345823
0.191000		0.070000		67.499327
0.192000		0.070000		68.667693
0.193000		0.070000		69.850982
0.194000		0.070000		71.049250
0.195000		0.070000		72.262548
0.196000		0.070000		73.490926
0.197000		0.070000		74.734428
0.198000		0.070000		75.993097
0.199000		0.070000		77.266970
0.200000		0.070000		78.556081
0.100000		0.080000		9.126933
0.101000		0.080000		9.414569
0.102000		0.080000		9.707766
0.103000		0.080000		10.006535
0.104000		0.080000		10.310889
0.105000		0.080000		10.620846
0.106000		0.080000		10.936426
0.107000		0.080000		11.257653
0.108000		0.080000		11.584552
0.109000		0.080000		11.917153
0.110000		0.080000		12.255491
0.111000		0.080000		12.599602
0.112000		0.080000		12.949528
0.113000		0.080000		13.305312
0.114000		0.080000		13.667003
0.115000		0.080000		14.034654
0.116000		0.080000		14.408320
0.117000		0.080000		14.788062
0.118000		0.080000		15.173944
0.119000		0.080000		15.566033
0.120000		0.080000		15.964402
0.121000		0.080000		16.369127
0.122000		0.080000		16.780287
0.123000		0.080000		17.197967
0.124000		0.080000		17.622255
0.125000		0.080000		18.053241
0.126000		0.080000		18.491022
0.127000		0.080000		18.935696
0.128000		0.080000		19.387366
0.129000		0.080000		19.846139
0.130000		0.080000		20.312123
0.131000		0.080000		20.785432
0.132000		0.080000		21.266183
0.133000		0.080000		21.754494
0.134000		0.080000		22.250489
0.135000		0.080000		22.754291
0.136000		0.080000		23.266030
0.137000		0.080000		23.785835
0.138000		0.080000		24.313840
0.139000		0.080000		24.850179
0.140000		0.080000		25.394991
0.141000		0.080000		25.948414
0.142000		0.080000		26.510589
0.143000		0.080000		27.081660
0.144000		0.080000		27.661771
0.145000		0.080000		28.251066
0.146000		0.080000		28.849693
0.147000		0.080000		29.457800
0.148000		0.080000		30.075535
0.149000		0.080000		30.703047
0.150000		0.080000		31.340485
0.151000		0.080000		31.988001
0.152000		0.080000		32.645744
0.153000		0.080000		33.313863
0.154000		0.080000		33.992510
0.155000		0.080000		34.681834
0.156000		0.080000		35.381984
0.157000		0.080000		36.093110
0.158000		0.080000		36.815358
0.159000		0.080000		37.548876
