100
100
T [fm^-1]		muB [fm^-1]		G_dfce [1]
0.674545		0.192323		0.382648
0.676970		0.192323		0.383288
0.679394		0.192323		0.383932
0.681818		0.192323		0.384579
0.684242		0.192323		0.385231
0.686667		0.192323		0.385886
0.689091		0.192323		0.386545
0.691515		0.192323		0.387207
0.693939		0.192323		0.387872
0.696364		0.192323		0.388540
0.698788		0.192323		0.389211
0.701212		0.192323		0.389885
0.703636		0.192323		0.390560
0.706061		0.192323		0.391239
0.708485		0.192323		0.391919
0.710909		0.192323		0.392601
0.713333		0.192323		0.393285
0.715758		0.192323		0.393971
0.718182		0.192323		0.394659
0.720606		0.192323		0.395348
0.723030		0.192323		0.396038
0.725455		0.192323		0.396730
0.727879		0.192323		0.397422
0.730303		0.192323		0.398116
0.732727		0.192323		0.398810
0.735152		0.192323		0.399505
0.737576		0.192323		0.400200
0.740000		0.192323		0.400897
0.742424		0.192323		0.401593
0.744848		0.192323		0.402290
0.747273		0.192323		0.402987
0.749697		0.192323		0.403684
0.752121		0.192323		0.404381
0.754545		0.192323		0.405078
0.756970		0.192323		0.405775
0.759394		0.192323		0.406472
0.761818		0.192323		0.407168
0.764242		0.192323		0.407864
0.766667		0.192323		0.408560
0.769091		0.192323		0.409254
0.771515		0.192323		0.409949
0.773939		0.192323		0.410642
0.776364		0.192323		0.411335
0.778788		0.192323		0.412026
0.781212		0.192323		0.412717
0.783636		0.192323		0.413407
0.786061		0.192323		0.414096
0.788485		0.192323		0.414783
0.790909		0.192323		0.415470
0.793333		0.192323		0.416155
0.795758		0.192323		0.416839
0.798182		0.192323		0.417522
0.800606		0.192323		0.418203
0.803030		0.192323		0.418883
0.805455		0.192323		0.419561
0.807879		0.192323		0.420237
0.810303		0.192323		0.420913
0.812727		0.192323		0.421586
0.815152		0.192323		0.422258
0.817576		0.192323		0.422928
0.820000		0.192323		0.423596
0.580000		0.219798		0.412003
0.582424		0.219798		0.412371
0.584848		0.219798		0.412757
0.587273		0.219798		0.413159
0.589697		0.219798		0.413577
0.592121		0.219798		0.414011
0.594545		0.219798		0.414460
0.596970		0.219798		0.414925
0.599394		0.219798		0.415403
0.601818		0.219798		0.415896
0.604242		0.219798		0.416403
0.606667		0.219798		0.416923
0.609091		0.219798		0.417456
0.611515		0.219798		0.418001
0.613939		0.219798		0.418559
0.616364		0.219798		0.419129
0.618788		0.219798		0.419710
0.621212		0.219798		0.420303
0.623636		0.219798		0.420906
0.626061		0.219798		0.421520
0.628485		0.219798		0.422143
0.630909		0.219798		0.422777
0.633333		0.219798		0.423420
0.635758		0.219798		0.424073
0.638182		0.219798		0.424734
0.640606		0.219798		0.425404
0.643030		0.219798		0.426082
0.645455		0.219798		0.426769
0.647879		0.219798		0.427462
0.650303		0.219798		0.428164
0.652727		0.219798		0.428872
0.655152		0.219798		0.429587
0.657576		0.219798		0.430309
0.660000		0.219798		0.431037
0.662424		0.219798		0.431771
0.664848		0.219798		0.432511
0.667273		0.219798		0.433257
0.669697		0.219798		0.434008
0.672121		0.219798		0.434764
0.674545		0.219798		0.435524
0.676970		0.219798		0.436290
0.679394		0.219798		0.437059
0.681818		0.219798		0.437833
0.684242		0.219798		0.438611
0.686667		0.219798		0.439393
0.689091		0.219798		0.440178
0.691515		0.219798		0.440967
0.693939		0.219798		0.441758
0.696364		0.219798		0.442553
0.698788		0.219798		0.443351
0.701212		0.219798		0.444151
0.703636		0.219798		0.444953
0.706061		0.219798		0.445758
0.708485		0.219798		0.446565
0.710909		0.219798		0.447374
0.713333		0.219798		0.448184
0.715758		0.219798		0.448996
0.718182		0.219798		0.449810
0.720606		0.219798		0.450625
0.723030		0.219798		0.451441
0.725455		0.219798		0.452258
0.727879		0.219798		0.453076
0.730303		0.219798		0.453894
0.732727		0.219798		0.454714
0.735152		0.219798		0.455534
0.737576		0.219798		0.456354
0.740000		0.219798		0.457174
0.742424		0.219798		0.457995
0.744848		0.219798		0.458816
0.747273		0.219798		0.459636
0.749697		0.219798		0.460456
0.752121		0.219798		0.461276
0.754545		0.219798		0.462096
0.756970		0.219798		0.462915
0.759394		0.219798		0.463734
0.761818		0.219798		0.464552
0.764242		0.219798		0.465369
0.766667		0.219798		0.466185
0.769091		0.219798		0.467000
0.771515		0.219798		0.467815
0.773939		0.219798		0.468628
0.776364		0.219798		0.469440
0.778788		0.219798		0.470250
0.781212		0.219798		0.471060
0.783636		0.219798		0.471868
0.786061		0.219798		0.472674
0.788485		0.219798		0.473479
0.790909		0.219798		0.474282
0.793333		0.219798		0.475084
0.795758		0.219798		0.475884
0.798182		0.219798		0.476682
0.800606		0.219798		0.477478
0.803030		0.219798		0.478273
0.805455		0.219798		0.479065
0.807879		0.219798		0.479855
0.810303		0.219798		0.480644
0.812727		0.219798		0.481430
0.815152		0.219798		0.482214
0.817576		0.219798		0.482996
0.820000		0.219798		0.483776
0.580000		0.247273		0.459154
0.582424		0.247273		0.459635
0.584848		0.247273		0.460134
0.587273		0.247273		0.460652
0.589697		0.247273		0.461186
0.592121		0.247273		0.461738
0.594545		0.247273		0.462306
0.596970		0.247273		0.462891
0.599394		0.247273		0.463491
0.601818		0.247273		0.464106
0.604242		0.247273		0.464736
0.606667		0.247273		0.465380
0.609091		0.247273		0.466039
0.611515		0.247273		0.466710
0.613939		0.247273		0.467395
0.616364		0.247273		0.468093
0.618788		0.247273		0.468803
0.621212		0.247273		0.469525
0.623636		0.247273		0.470259
