100
100
T [fm^-1]		muB [fm^-1]		F_dfce [fm^-1]
0.599394		0.219798		-0.171115
0.601818		0.219798		-0.172282
0.604242		0.219798		-0.173456
0.606667		0.219798		-0.174637
0.609091		0.219798		-0.175826
0.611515		0.219798		-0.177021
0.613939		0.219798		-0.178223
0.616364		0.219798		-0.179433
0.618788		0.219798		-0.180649
0.621212		0.219798		-0.181872
0.623636		0.219798		-0.183102
0.626061		0.219798		-0.184339
0.628485		0.219798		-0.185583
0.630909		0.219798		-0.186834
0.633333		0.219798		-0.188091
0.635758		0.219798		-0.189355
0.638182		0.219798		-0.190626
0.640606		0.219798		-0.191904
0.643030		0.219798		-0.193188
0.645455		0.219798		-0.194479
0.647879		0.219798		-0.195776
0.650303		0.219798		-0.197080
0.652727		0.219798		-0.198390
0.655152		0.219798		-0.199707
0.657576		0.219798		-0.201030
0.660000		0.219798		-0.202360
0.662424		0.219798		-0.203696
0.664848		0.219798		-0.205039
0.667273		0.219798		-0.206388
0.669697		0.219798		-0.207743
0.672121		0.219798		-0.209104
0.674545		0.219798		-0.210472
0.676970		0.219798		-0.211846
0.679394		0.219798		-0.213225
0.681818		0.219798		-0.214612
0.684242		0.219798		-0.216004
0.686667		0.219798		-0.217402
0.689091		0.219798		-0.218806
0.691515		0.219798		-0.220217
0.693939		0.219798		-0.221633
0.696364		0.219798		-0.223055
0.698788		0.219798		-0.224483
0.701212		0.219798		-0.225917
0.703636		0.219798		-0.227357
0.706061		0.219798		-0.228803
0.708485		0.219798		-0.230255
0.710909		0.219798		-0.231712
0.713333		0.219798		-0.233175
0.715758		0.219798		-0.234644
0.718182		0.219798		-0.236118
0.720606		0.219798		-0.237599
0.723030		0.219798		-0.239085
0.725455		0.219798		-0.240576
0.727879		0.219798		-0.242073
0.730303		0.219798		-0.243576
