100
100
T [fm^-1]		muB [fm^-1]		betabulk_dfce [fm^-4]
0.618788		0.137374		-0.077921
0.621212		0.137374		-0.081535
0.623636		0.137374		-0.085294
0.626061		0.137374		-0.089204
0.628485		0.137374		-0.093270
0.630909		0.137374		-0.097497
0.633333		0.137374		-0.101891
0.635758		0.137374		-0.106458
0.638182		0.137374		-0.111204
0.640606		0.137374		-0.116133
0.643030		0.137374		-0.121254
0.645455		0.137374		-0.126572
0.647879		0.137374		-0.132094
0.650303		0.137374		-0.137826
0.652727		0.137374		-0.143776
0.655152		0.137374		-0.149950
0.657576		0.137374		-0.156357
0.660000		0.137374		-0.163003
0.662424		0.137374		-0.169897
0.664848		0.137374		-0.177046
0.667273		0.137374		-0.184459
0.669697		0.137374		-0.192144
0.672121		0.137374		-0.200110
0.674545		0.137374		-0.208366
0.676970		0.137374		-0.216921
0.679394		0.137374		-0.225783
0.681818		0.137374		-0.234964
0.684242		0.137374		-0.244473
0.686667		0.137374		-0.254319
0.689091		0.137374		-0.264514
0.691515		0.137374		-0.275068
0.693939		0.137374		-0.285991
0.696364		0.137374		-0.297296
0.698788		0.137374		-0.308994
0.701212		0.137374		-0.321097
0.703636		0.137374		-0.333616
0.706061		0.137374		-0.346564
0.708485		0.137374		-0.359954
0.710909		0.137374		-0.373799
0.713333		0.137374		-0.388112
0.715758		0.137374		-0.402908
0.718182		0.137374		-0.418199
0.720606		0.137374		-0.434001
0.723030		0.137374		-0.450328
0.725455		0.137374		-0.467195
0.727879		0.137374		-0.484617
0.730303		0.137374		-0.502611
0.732727		0.137374		-0.521193
0.735152		0.137374		-0.540379
0.737576		0.137374		-0.560186
0.740000		0.137374		-0.580631
0.742424		0.137374		-0.601733
0.744848		0.137374		-0.623509
0.747273		0.137374		-0.645978
0.749697		0.137374		-0.669159
0.752121		0.137374		-0.693071
0.754545		0.137374		-0.717734
0.756970		0.137374		-0.743168
0.759394		0.137374		-0.769395
0.761818		0.137374		-0.796435
0.764242		0.137374		-0.824310
0.766667		0.137374		-0.853042
0.769091		0.137374		-0.882654
0.771515		0.137374		-0.913169
0.773939		0.137374		-0.944611
0.776364		0.137374		-0.977003
0.778788		0.137374		-1.010370
0.781212		0.137374		-1.044738
0.783636		0.137374		-1.080131
0.786061		0.137374		-1.116578
0.788485		0.137374		-1.154103
0.790909		0.137374		-1.192734
0.793333		0.137374		-1.232500
0.795758		0.137374		-1.273429
0.798182		0.137374		-1.315549
0.800606		0.137374		-1.358891
