101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.146000		0.080000		0.825225
0.147000		0.080000		0.868316
0.148000		0.080000		0.913174
0.149000		0.080000		0.959851
0.150000		0.080000		1.008398
0.151000		0.080000		1.058870
0.152000		0.080000		1.111321
0.153000		0.080000		1.165806
0.154000		0.080000		1.222380
0.155000		0.080000		1.281100
0.156000		0.080000		1.342023
0.157000		0.080000		1.405208
0.158000		0.080000		1.470713
0.159000		0.080000		1.538597
0.160000		0.080000		1.608922
0.161000		0.080000		1.681747
0.162000		0.080000		1.757135
0.163000		0.080000		1.835147
0.164000		0.080000		1.915847
0.165000		0.080000		1.999298
0.166000		0.080000		2.085565
0.167000		0.080000		2.174712
0.168000		0.080000		2.266805
0.169000		0.080000		2.361909
0.170000		0.080000		2.460091
0.171000		0.080000		2.561419
0.172000		0.080000		2.665960
0.173000		0.080000		2.773782
0.174000		0.080000		2.884954
0.175000		0.080000		2.999544
0.176000		0.080000		3.117623
0.177000		0.080000		3.239261
0.178000		0.080000		3.364527
0.179000		0.080000		3.493492
0.180000		0.080000		3.626228
0.181000		0.080000		3.762807
0.182000		0.080000		3.903300
0.183000		0.080000		4.047779
0.184000		0.080000		4.196317
0.185000		0.080000		4.348986
0.186000		0.080000		4.505860
0.187000		0.080000		4.667012
0.188000		0.080000		4.832515
0.189000		0.080000		5.002443
0.190000		0.080000		5.176869
0.191000		0.080000		5.355869
0.192000		0.080000		5.539515
0.193000		0.080000		5.727882
0.194000		0.080000		5.921045
0.195000		0.080000		6.119078
0.196000		0.080000		6.322055
0.197000		0.080000		6.530050
0.198000		0.080000		6.743139
0.199000		0.080000		6.961396
0.200000		0.080000		7.184895
0.100000		0.090000		0.037023
0.101000		0.090000		0.040610
0.102000		0.090000		0.044477
0.103000		0.090000		0.048637
0.104000		0.090000		0.053109
0.105000		0.090000		0.057910
0.106000		0.090000		0.063057
0.107000		0.090000		0.068570
0.108000		0.090000		0.074466
